"Id";"Name";"Type";"Description";"Budget";"InResult";"InBalance"
1000;"Immateriella anläggningstillgångar";"TILLGÅNGAR";;;;
1009;"Årets avskrivningar på immateriella anläggningstillgångar";"TILLGÅNGAR";;;;
1110;"Byggnader";"TILLGÅNGAR";;;;
1119;"Ackumulerade avskrivningar på byggnader";"TILLGÅNGAR";;;;
1130;"Mark";"TILLGÅNGAR";;;;
1150;"Markanläggningar";"TILLGÅNGAR";;;;
1159;"Ackumulerade avskrivningar på markanläggningar";"TILLGÅNGAR";;;;
1180;"Pågående nyanläggningar och förskott för byggnader och mark";"TILLGÅNGAR";;;;
1220;"Maskiner och inventarier";"TILLGÅNGAR";;;;
1221;"Årets nyanskaffning av maskiner och inventarier";"TILLGÅNGAR";;;;
1222;"Årets ersättning för maskiner och inventarier";"TILLGÅNGAR";;;;
1229;"Årets avskrivningar på maskiner och inventarier";"TILLGÅNGAR";;;;
1230;"Byggnads- och markinventarier";"TILLGÅNGAR";;;;
1231;"Årets nyanskaffning av byggnads- och markinventarier";"TILLGÅNGAR";;;;
1232;"Årets ersättning för byggnads- och markinventarier";"TILLGÅNGAR";;;;
1239;"Årets avskrivningar på byggnads- och markinventarier";"TILLGÅNGAR";;;;
1240;"Bilar och andra transportmedel";"TILLGÅNGAR";;;;
1241;"Årets nyanskaffning av bilar och andra transportmedel";"TILLGÅNGAR";;;;
1242;"Årets ersättning för bilar och andra transportmedel";"TILLGÅNGAR";;;;
1249;"Årets avskrivningar på bilar och andra transportmedel";"TILLGÅNGAR";;;;
1300;"Andelar";"TILLGÅNGAR";;;;
1400;"Lager";"TILLGÅNGAR";;;;
1500;"Kundfordringar";"TILLGÅNGAR";;;;
1600;"Övriga fordringar";"TILLGÅNGAR";;;;
1650;"Momsfordran";"TILLGÅNGAR";;;;
1700;"Förskott till leverantörer";"TILLGÅNGAR";;;;
1910;"Kassa";"TILLGÅNGAR";;;;
1920;"PlusGiro";"TILLGÅNGAR";;;;
1930;"Företagskonto/checkkonto/affärskonto";"TILLGÅNGAR";;;;
1940;"Övriga bankkonton";"TILLGÅNGAR";;;;
1970;"Särskilda bankkonton";"TILLGÅNGAR";;;;
2010;"Eget kapital, delägare 1";"EGET KAPITAL OCH SKULDER";;;;
2011;"Egna varuuttag";"EGET KAPITAL OCH SKULDER";;;;
2012;"Avräkning för skatter och avgifter (skattekonto)";"EGET KAPITAL OCH SKULDER";;;;
2013;"Övriga egna uttag";"EGET KAPITAL OCH SKULDER";;;;
2014;"Uttag förmåner";"EGET KAPITAL OCH SKULDER";;;;
2017;"Egna insättningar";"EGET KAPITAL OCH SKULDER";;;;
2019;"Årets resultat, delägare 1";"EGET KAPITAL OCH SKULDER";;;;
2020;"Eget kapital, delägare 2;"B10";"EGET KAPITAL OCH SKULDER";;;;
2030;"Eget kapital, delägare 3";"EGET KAPITAL OCH SKULDER";;;;
2040;"Eget kapital, delägare 4";"EGET KAPITAL OCH SKULDER";;;;
2050;"Avsättning till expansionsfond";"EGET KAPITAL OCH SKULDER";
2060;"Ersättningsfond";"EGET KAPITAL OCH SKULDER";;;;
2070;"Insatsemissioner, avbetalningsplan på skog, skogskonto, upphovsmannakonto";"EGET KAPITAL OCH SKULDER";;;;
2080;"Periodiseringsfonder";"EGET KAPITAL OCH SKULDER";;;;
2081;"Periodiseringsfond vid 2010 års taxering";"EGET KAPITAL OCH SKULDER";;;;
2082;"Periodiseringsfond vid 2011 års taxering";"EGET KAPITAL OCH SKULDER";;;;
2083;"Periodiseringsfond vid 2012 års taxering";"EGET KAPITAL OCH SKULDER";;;;
2084;"Periodiseringsfond vid 2013 års taxering";"EGET KAPITAL OCH SKULDER";;;;
2085;"Periodiseringsfond 2013";"EGET KAPITAL OCH SKULDER";;;;
2086;"Periodiseringsfond 2014";"EGET KAPITAL OCH SKULDER";;;;
2087;"Periodiseringsfond 2015";"EGET KAPITAL OCH SKULDER";;;;
2088;"Periodiseringsfond 2016";"EGET KAPITAL OCH SKULDER";;;;
2089;"Periodiseringsfond 2017";"EGET KAPITAL OCH SKULDER";
2090;"Utjämningskonto upplysningar 1-4";"EGET KAPITAL OCH SKULDER";;;;
2330;"Checkräkningskredit";"EGET KAPITAL OCH SKULDER";;;;
2350;"Skulder till kreditinstitut";"EGET KAPITAL OCH SKULDER";;;;
2390;"Övriga låneskulder";"EGET KAPITAL OCH SKULDER";;;;
2440;"Leverantörsskulder";"EGET KAPITAL OCH SKULDER";;;;
2610;"Utgående moms, 25 %";"EGET KAPITAL OCH SKULDER";;;;
2611;"Utgående moms på försäljning inom Sverige, 25 %";"EGET KAPITAL OCH SKULDER";;;;
2612;"Utgående moms på egna uttag, 25 %";"EGET KAPITAL OCH SKULDER";;;;
2613;"Utgående moms för uthyrning, 25 %";"EGET KAPITAL OCH SKULDER";;;;
2614;"Utgående moms omvänd skattskyldighet, 25 %";"EGET KAPITAL OCH SKULDER";;;;
2615;"Utgående moms import av varor, 25 %";"EGET KAPITAL OCH SKULDER";;;;
2618;"Vilande utgående moms, 25 %";"EGET KAPITAL OCH SKULDER";;;;
2620;"Utgående moms, 12 %";"EGET KAPITAL OCH SKULDER";;;;
2621;"Utgående moms på försäljning inom Sverige, 12 %";"EGET KAPITAL OCH SKULDER";;;;
2622;"Utgående moms på egna uttag, 12 %";"EGET KAPITAL OCH SKULDER";;;;
2623;"Utgående moms för uthyrning, 12 %";"EGET KAPITAL OCH SKULDER";;;;
2624;"Utgående moms omvänd skattskyldighet, 12 %";"EGET KAPITAL OCH SKULDER";;;;
2625;"Utgående moms import av varor, 12 %";"EGET KAPITAL OCH SKULDER";;;;
2628;"Vilande utgående moms, 12 %";"EGET KAPITAL OCH SKULDER";;;;
2630;"Utgående moms, 6 %";"EGET KAPITAL OCH SKULDER";;;;
2631;"Utgående moms på försäljning inom Sverige, 6 %";"EGET KAPITAL OCH SKULDER";;;;
2632;"Utgående moms på egna uttag, 6 %";"EGET KAPITAL OCH SKULDER";;;;
2633;"Utgående moms för uthyrning, 6 %";"EGET KAPITAL OCH SKULDER";;;;
2634;"Utgående moms omvänd skattskyldighet, 6 %";"EGET KAPITAL OCH SKULDER";;;;
2635;"Utgående moms import av varor, 6 %";"EGET KAPITAL OCH SKULDER";;;;
2638;"Vilande utgående moms, 6 %";"EGET KAPITAL OCH SKULDER";;;;
2640;"Ingående moms";"EGET KAPITAL OCH SKULDER";;;;
2641;"Debiterad ingående moms";"EGET KAPITAL OCH SKULDER";;;;
2649;"Ingående moms, blandad verksamhet";"EGET KAPITAL OCH SKULDER";;;;
2650;"Redovisningskonto för moms";"EGET KAPITAL OCH SKULDER";;;;
2660;"Särskilda punktskatter";"EGET KAPITAL OCH SKULDER";;;;
2710;"Personalskatt";"EGET KAPITAL OCH SKULDER";;;;
2730;"Lagstadgade/avtalade sociala avgifter och särskild löneskatt";"EGET KAPITAL OCH SKULDER";;;;
2900;"Övriga skulder";"EGET KAPITAL OCH SKULDER";;;;
3000;"Försäljning och utfört arbete samt övriga momspliktiga intäkter";"INKOMSTER/INTÄKTER";;;;
3100;"Momsfria intäkter";"INKOMSTER/INTÄKTER";;;;
3200;"Bil- och bostadsförmån m.m.";"INKOMSTER/INTÄKTER";;;;
3500;"Fakturerade kostnader";"INKOMSTER/INTÄKTER";;;;
3700;"Lämnade rabatter, bonus etc.";"INKOMSTER/INTÄKTER";;;;
3900;"Övriga rörelseintäkter";"INKOMSTER/INTÄKTER";;;;
3970;"Vinst vid avyttring av immateriella och materiella anläggningstillgångar";"INKOMSTER/INTÄKTER";;;;
3980;"Erhållna bidrag";"INKOMSTER/INTÄKTER";;;;
4000;"Varor";"UTGIFTER/KOSTNADER";;;;
4600;"Legoarbeten och underentreprenader";"UTGIFTER/KOSTNADER";;;;
4700;"Erhållna rabatter, bonus etc.";"UTGIFTER/KOSTNADER";;;;
4900;"Förändring av lager";"UTGIFTER/KOSTNADER";;;;
5000;"Lokalkostnader";"UTGIFTER/KOSTNADER";;;;
5100;"Fastighetskostnader";"UTGIFTER/KOSTNADER";;;;
5200;"Hyra av anläggningstillgångar";"UTGIFTER/KOSTNADER";;;;
5400;"Förbrukningsinventarier och förbrukningsmaterial";"UTGIFTER/KOSTNADER";;;;
5500;"Reparation och underhåll";"UTGIFTER/KOSTNADER";;;;
5600;"Kostnader för transportmedel";"UTGIFTER/KOSTNADER";;;;
5610;"Personbilskostnader";"UTGIFTER/KOSTNADER";;;;
5611;"Drivmedel för personbilar";"UTGIFTER/KOSTNADER";;;;
5612;"Försäkring och skatt för personbilar";"UTGIFTER/KOSTNADER";;;;
5613;"Reparation och underhåll av personbilar";"UTGIFTER/KOSTNADER";;;;
5615;"Leasing av personbilar";"UTGIFTER/KOSTNADER";;;;
5618;"Schablonmässig milkostnad privat personbil";"UTGIFTER/KOSTNADER";;;;
5619;"Övriga personbilskostnader";"UTGIFTER/KOSTNADER";;;;
5620;"Lastbilskostnader";"UTGIFTER/KOSTNADER";;;;
5700;"Frakter och transporter";"UTGIFTER/KOSTNADER";;;;
5800;"Resekostnader";"UTGIFTER/KOSTNADER";;;;
5900;"Reklam och PR";"UTGIFTER/KOSTNADER";;;;
6000;"Övriga försäljningskostnader";"UTGIFTER/KOSTNADER";
6070;"Representation";"UTGIFTER/KOSTNADER";;;;
6071;"Representation, avdragsgill";"UTGIFTER/KOSTNADER";;;;
6072;"Representation, ej avdragsgill";"UTGIFTER/KOSTNADER";;;;
6100;"Kontorsmateriel och trycksaker";"UTGIFTER/KOSTNADER";;;;
6200;"Tele och post";"UTGIFTER/KOSTNADER";;;;
6300;"Företagsförsäkringar och övriga riskkostnader";"UTGIFTER/KOSTNADER";;;;
6310;"Företagsförsäkringar";"UTGIFTER/KOSTNADER";;;;
6500;"Övriga externa tjänster";"UTGIFTER/KOSTNADER";;;;
6800;"Inhyrd personal";"UTGIFTER/KOSTNADER";;;;
6900;"Övriga kostnader";"UTGIFTER/KOSTNADER";;;;
6980;"Föreningsavgifter";"UTGIFTER/KOSTNADER";;;;
7000;"Löner till anställda";"UTGIFTER/KOSTNADER";;;;
7300;"Kostnadsersättningar och förmåner";"UTGIFTER/KOSTNADER";;;;
7400;"Pensionskostnader";"UTGIFTER/KOSTNADER";;;;
7500;"Sociala och andra avgifter enligt lag och avtal";"UTGIFTER/KOSTNADER";;;;
7600;"Övriga personalkostnader";"UTGIFTER/KOSTNADER";;;;
7631;"Personalrepresentation, avdragsgill";"UTGIFTER/KOSTNADER";;;;
7632;"Personalrepresentation, ej avdragsgill";"UTGIFTER/KOSTNADER";
7700;"Nedskrivningar";"UTGIFTER/KOSTNADER";;;;
7810;"Avskrivningar på immateriella anläggningstillgångar";"UTGIFTER/KOSTNADER";;;;
7820;"Avskrivningar på byggnader och markanläggningar";"UTGIFTER/KOSTNADER";;;;
7830;"Avskrivningar på maskiner och inventarier";"UTGIFTER/KOSTNADER";;;;
7970;"Förlust vid avyttring av immateriella och materiella anläggningstillgångar";"UTGIFTER/KOSTNADER";;;;
7980;"Ersättningsfonder";"UTGIFTER/KOSTNADER";;;;
8310;"Ränteintäkter och utdelningar";"INKOMSTER/INTÄKTER";;;;
8314;"Skattefria ränteintäkter";"INKOMSTER/INTÄKTER";;;;
8330;"Valutakursdifferenser på fordringar och placeringar";"INKOMSTER/INTÄKTER";;;;
8410;"Räntekostnader för skulder";"UTGIFTER/KOSTNADER";;;;
8430;"Valutakursdifferenser på skulder";"UTGIFTER/KOSTNADER";;;;
8990;"Resultat R11";"UTGIFTER/KOSTNADER";"UTGIFTER/KOSTNADER";;;;
8999;"Årets resultat";"UTGIFTER/KOSTNADER";;;;
